datetime_rounded,anonymized_ip,subnet,asn,as_country,as_organization,as_organization_iden,version,test_result,control_result,control_taco_result
2021-04-18 03:25:00 UTC,37.78.135.0,37.78.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,103.64,2248.88,2202.64
2021-04-18 04:35:00 UTC,109.252.45.0,109.252.0.0/16,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,9146.34,13636.36,15463.92
2021-04-18 04:35:00 UTC,213.87.160.0,213.87.160.0/22,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,108.66,7194.24,7751.94
2021-04-18 04:35:00 UTC,2a00:1370:8113::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,9433.96,14705.88,18518.52
2021-04-18 04:35:00 UTC,2a00:1370:8113::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,31250.0,26785.71,30000.0
2021-04-18 05:25:00 UTC,217.138.194.0,217.138.194.0/24,9009,GB,M247 Ltd,ORG-GL37-RIPE,4,3654.08,634.92,1768.87
2021-04-18 05:30:00 UTC,2a00:1370:8115::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,20134.23,26548.67,26548.67
2021-04-18 05:30:00 UTC,2a00:1370:8115::,2a00:1370::/32,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,24000.0,7462.69,5870.84
2021-04-18 05:35:00 UTC,176.59.49.0,176.59.48.0/22,12958,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,115.59,1662.05,1674.11
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,344.59,10638.3,9836.07
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,6315.79,8955.22,6479.48
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,8264.46,8450.7,10989.01
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,9404.39,13157.89,11194.03
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,9433.96,11406.84,11111.11
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,9966.78,9063.44,11583.01
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,10600.71,11194.03,9771.99
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,10676.16,4070.56,10238.91
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,11583.01,10033.44,8595.99
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,12000.0,11857.71,3181.34
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,12448.13,11111.11,13274.34
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,13274.34,13157.89,11111.11
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,13513.51,11583.01,11320.75
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,14634.15,11857.71,10033.44
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,15075.38,13274.34,10344.83
2021-04-18 05:55:00 UTC,92.255.137.0,92.255.137.0/24,12768,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,15384.62,4379.56,264.06
2021-04-18 06:00:00 UTC,77.37.164.0,77.37.128.0/17,42610,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,18181.82,13636.36,11904.76
2021-04-18 06:15:00 UTC,171.33.249.0,171.33.248.0/21,31257,RU,Orion Telecom LLC,ORG-MNL1-RIPE,4,95.61,3282.28,3144.65
2021-04-18 06:20:00 UTC,2a00:1fa0:c602::,2a00:1fa0:8000::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,107.93,3440.37,3870.97
2021-04-18 06:55:00 UTC,5.167.161.0,5.167.160.0/22,41727,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,1293.66,2923.98,4322.77
2021-04-18 07:00:00 UTC,109.252.123.0,109.252.0.0/16,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,8108.11,13513.51,14705.88
2021-04-18 07:00:00 UTC,109.252.123.0,109.252.0.0/16,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,9063.44,5000.0,7058.82
2021-04-18 07:00:00 UTC,109.252.123.0,109.252.0.0/16,25513,RU,PJSC Moscow city telephone network,ORG-OMCT1-RIPE,4,17142.86,14150.94,14218.01
2021-04-18 07:00:00 UTC,194.58.154.0,,,,,,4,4731.86,3658.54,4484.3
2021-04-18 07:05:00 UTC,37.20.183.0,37.20.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,2932.55,2659.57,2564.1
2021-04-18 07:30:00 UTC,95.183.29.0,95.183.24.0/21,47684,RU,Stroytechservice LLC,ORG-SL761-RIPE,4,4545.45,5128.21,3529.41
2021-04-18 07:30:00 UTC,185.176.222.0,185.176.222.0/24,39845,LV,2 Cloud Ltd.,ORG-CL378-RIPE,4,5300.35,4878.05,5154.64
2021-04-18 07:30:00 UTC,2a00:1fa0:295::,2a00:1fa0::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,5172.41,3831.42,4484.3
2021-04-18 08:35:00 UTC,46.159.189.0,46.159.0.0/16,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,105.95,4552.35,3359.46
2021-04-18 09:10:00 UTC,85.26.164.0,85.26.164.0/23,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,108.49,3989.36,4201.68
2021-04-18 09:10:00 UTC,85.26.164.0,85.26.164.0/23,31133,RU,PJSC MegaFon,ORG-OM1-RIPE,4,113.67,7462.69,7263.92
2021-04-18 09:30:00 UTC,188.32.161.0,188.32.0.0/16,42610,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,13888.89,10067.11,12552.3
2021-04-18 09:30:00 UTC,188.32.161.0,188.32.0.0/16,42610,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,40540.54,18867.92,18750.0
2021-04-18 09:45:00 UTC,89.178.109.0,89.178.108.0/22,8402,RU,"PJSC ""Vimpelcom""",ORG-CTAM1-RIPE,4,4120.88,3500.58,3512.88
2021-04-18 10:25:00 UTC,185.13.112.0,185.13.112.0/22,29069,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,79.37,4360.47,10909.09
2021-04-18 10:30:00 UTC,213.234.222.0,213.234.222.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,113.1,2044.99,1675.98
2021-04-18 10:40:00 UTC,91.122.127.0,91.122.0.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,10380.62,4622.5,4601.23
2021-04-18 10:40:00 UTC,91.122.127.0,91.122.0.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,27272.73,12295.08,14705.88
2021-04-18 10:40:00 UTC,213.234.222.0,213.234.222.0/24,16345,RU,"Public Joint Stock Company ""Vimpel-Communications""",ORG-JA8-RIPE,4,110.04,1940.49,3575.69
2021-04-18 11:05:00 UTC,176.59.54.0,176.59.52.0/22,12958,RU,T2 Mobile LLC,ORG-MCC1-RIPE,4,69.1,983.61,492.37
2021-04-18 11:15:00 UTC,80.79.114.0,80.79.112.0/20,34702,EE,Aktsiaselts WaveCom,ORG-AW4-RIPE,4,3694.58,1863.35,1822.6
2021-04-18 11:15:00 UTC,2a00:1fa0:8db::,2a00:1fa0::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,106.95,3841.23,3926.7
2021-04-18 11:30:00 UTC,85.174.201.0,85.174.192.0/19,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,108.46,1563.31,1233.55
2021-04-18 11:45:00 UTC,2a02:2698:142b::,2a02:2698:142b::/48,50542,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,114.25,4518.07,16304.35
2021-04-18 12:15:00 UTC,87.239.7.0,87.239.0.0/21,48711,UA,"OOO ""Matritsa""",ORG-OA269-RIPE,4,8064.52,5281.69,5319.15
2021-04-18 12:20:00 UTC,95.91.239.0,95.88.0.0/14,3209,DE,Vodafone GmbH,ORG-MAT1-RIPE,4,7957.56,2744.74,2633.89
2021-04-18 12:30:00 UTC,46.39.45.0,46.39.32.0/19,15582,RU,OJSC Comcor,ORG-CA35-RIPE,4,5870.84,3690.04,5504.59
2021-04-18 12:30:00 UTC,213.21.30.0,213.21.0.0/19,39102,AG,Global Network Management Inc,ORG-GNMI1-RIPE,4,10563.38,5172.41,6369.43
2021-04-18 12:55:00 UTC,176.15.12.0,176.14.0.0/15,8402,RU,"PJSC ""Vimpelcom""",ORG-CTAM1-RIPE,4,6993.01,7537.69,6637.17
2021-04-18 14:15:00 UTC,83.102.221.0,83.102.221.0/24,8371,RU,"PJSC ""Vimpelcom""",ORG-ES15-RIPE,4,4373.18,1939.24,7407.41
2021-04-18 14:15:00 UTC,83.102.221.0,83.102.221.0/24,8371,RU,"PJSC ""Vimpelcom""",ORG-ES15-RIPE,4,11904.76,11194.03,8902.08
2021-04-18 14:20:00 UTC,31.173.241.0,31.173.240.0/23,31205,RU,PJSC MegaFon,ORG-OM1-RIPE,4,113.65,3108.81,2830.19
2021-04-18 14:55:00 UTC,2a00:1fa0:46ff::,2a00:1fa0::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,116.19,2840.91,2405.77
2021-04-18 15:35:00 UTC,92.124.160.0,92.124.160.0/24,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,3726.71,3318.58,6396.59
2021-04-18 15:40:00 UTC,82.208.114.0,82.208.114.0/23,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,10830.32,6134.97,5253.94
2021-04-18 15:45:00 UTC,188.162.14.0,188.162.14.0/23,31205,RU,PJSC MegaFon,ORG-OM1-RIPE,4,3253.8,2661.93,2775.21
2021-04-18 16:10:00 UTC,178.216.15.0,178.216.15.0/24,39027,UA,BATYEVKA LTD,ORG-BL168-RIPE,4,7556.68,3472.22,8955.22
2021-04-18 16:10:00 UTC,178.216.15.0,178.216.15.0/24,39027,UA,BATYEVKA LTD,ORG-BL168-RIPE,4,9375.0,8241.76,2824.86
2021-04-18 16:10:00 UTC,178.216.15.0,178.216.15.0/24,39027,UA,BATYEVKA LTD,ORG-BL168-RIPE,4,10204.08,5639.1,5244.76
2021-04-18 16:10:00 UTC,178.216.15.0,178.216.15.0/24,39027,UA,BATYEVKA LTD,ORG-BL168-RIPE,4,10273.97,4870.13,3012.05
2021-04-18 16:10:00 UTC,178.216.15.0,178.216.15.0/24,39027,UA,BATYEVKA LTD,ORG-BL168-RIPE,4,11363.64,5940.59,3325.94
2021-04-18 16:15:00 UTC,188.162.176.0,188.162.176.0/22,31163,RU,PJSC MegaFon,ORG-OM1-RIPE,4,84.46,878.73,570.56
2021-04-18 16:20:00 UTC,87.103.193.0,87.103.192.0/22,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,3512.88,3926.7,3816.79
2021-04-18 16:20:00 UTC,134.90.152.0,134.90.152.0/21,44507,RU,OJSC Kostroma Municipal Telephone Network,ORG-OKMT1-RIPE,4,11406.84,10452.96,9146.34
2021-04-18 16:30:00 UTC,2.134.184.0,2.134.176.0/20,9198,KZ,JSC Kazakhtelecom,ORG-KDNA1-RIPE,4,3957.78,4504.5,4231.31
2021-04-18 16:35:00 UTC,2.134.184.0,2.134.176.0/20,9198,KZ,JSC Kazakhtelecom,ORG-KDNA1-RIPE,4,8595.99,4444.44,4092.77
2021-04-18 16:40:00 UTC,46.163.171.0,46.163.128.0/18,28890,RU,INSYS LLC,ORG-IJ1-RIPE,4,109.88,3194.89,7936.51
2021-04-18 16:55:00 UTC,176.99.229.0,176.99.224.0/19,35598,RU,INETCOM LLC,ORG-IA580-RIPE,4,9554.14,16949.15,18987.34
2021-04-18 17:00:00 UTC,194.8.130.0,194.8.128.0/22,49107,RU,"""Telko"" JSC",ORG-JA111-RIPE,4,101.35,7915.57,5747.13
2021-04-18 17:20:00 UTC,8.20.126.0,8.20.126.0/24,13335,US,"Cloudflare, Inc.",CLOUD14-ARIN,4,665.63,759.3,625.26
2021-04-18 17:45:00 UTC,5.2.70.0,5.2.70.0/24,60404,NL,The Infrastructure Group B.V.,ORG-TIGB3-RIPE,4,5836.58,3311.26,3754.69
2021-04-18 17:45:00 UTC,109.62.202.0,109.62.200.0/21,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,111.03,7594.94,6593.41
2021-04-18 18:15:00 UTC,78.57.214.0,78.57.208.0/20,8764,LT,"Telia Lietuva, AB",ORG-LT1-RIPE,4,31578.95,20270.27,21126.76
2021-04-18 18:15:00 UTC,78.57.214.0,78.57.208.0/20,8764,LT,"Telia Lietuva, AB",ORG-LT1-RIPE,4,111111.11,41095.89,41666.67
2021-04-18 18:20:00 UTC,78.57.214.0,78.57.208.0/20,8764,LT,"Telia Lietuva, AB",ORG-LT1-RIPE,4,11111.11,28571.43,28301.89
2021-04-18 18:25:00 UTC,78.37.185.0,78.37.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,8571.43,5671.08,3500.58
2021-04-18 18:25:00 UTC,78.37.185.0,78.37.128.0/17,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,21126.76,3355.7,3154.57
2021-04-18 18:30:00 UTC,5.18.85.0,5.18.84.0/23,41733,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,13100.44,2555.37,3246.75
2021-04-18 18:40:00 UTC,109.62.165.0,109.62.160.0/21,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,101.09,852.27,1109.06
2021-04-18 18:40:00 UTC,109.62.165.0,109.62.160.0/21,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,107.98,3021.15,3567.18
2021-04-18 19:20:00 UTC,94.158.171.0,94.158.160.0/20,48368,RU,Comteh.ru Ltd.,ORG-CL99-RIPE,4,1895.14,3024.19,1319.84
2021-04-18 19:20:00 UTC,94.158.171.0,94.158.160.0/20,48368,RU,Comteh.ru Ltd.,ORG-CL99-RIPE,4,1982.82,2645.5,517.6
2021-04-18 20:10:00 UTC,77.108.251.0,77.108.192.0/18,35728,RU,MTS PJSC,ORG-ZM1-RIPE,4,9202.45,11278.2,11070.11
2021-04-18 20:20:00 UTC,37.204.183.0,37.204.0.0/16,42610,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,15873.02,6593.41,6085.19
2021-04-18 20:20:00 UTC,2a00:1fa0:483b::,2a00:1fa0::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,110.93,3307.61,996.35
2021-04-18 20:50:00 UTC,13.80.133.0,13.64.0.0/11,8075,US,Microsoft Corporation,MSFT-ARIN,4,1328.61,5145.8,6535.95
2021-04-18 20:50:00 UTC,13.80.133.0,13.64.0.0/11,8075,US,Microsoft Corporation,MSFT-ARIN,4,3359.46,2483.44,2678.57
2021-04-18 20:50:00 UTC,13.80.133.0,13.64.0.0/11,8075,US,Microsoft Corporation,MSFT-ARIN,4,3359.46,3102.38,7142.86
2021-04-18 20:50:00 UTC,13.80.133.0,13.64.0.0/11,8075,US,Microsoft Corporation,MSFT-ARIN,4,4184.1,5847.95,7281.55
2021-04-18 20:50:00 UTC,13.80.133.0,13.64.0.0/11,8075,US,Microsoft Corporation,MSFT-ARIN,4,4184.1,5494.51,7177.03
2021-04-18 20:50:00 UTC,13.80.133.0,13.64.0.0/11,8075,US,Microsoft Corporation,MSFT-ARIN,4,4815.41,3558.72,5119.45
2021-04-18 20:50:00 UTC,13.80.133.0,13.64.0.0/11,8075,US,Microsoft Corporation,MSFT-ARIN,4,5136.99,5870.84,7228.92
2021-04-18 20:50:00 UTC,13.80.133.0,13.64.0.0/11,8075,US,Microsoft Corporation,MSFT-ARIN,4,5802.71,5905.51,7518.8
2021-04-18 21:05:00 UTC,178.176.76.0,178.176.72.0/21,25159,RU,PJSC MegaFon,ORG-OM1-RIPE,4,94.34,4143.65,1206.27
2021-04-18 21:05:00 UTC,2a00:1fa0:4244::,2a00:1fa0::/33,8359,RU,MTS PJSC,ORG-ZM1-RIPE,4,112.04,4076.09,5791.51
2021-04-18 22:00:00 UTC,87.103.192.0,87.103.192.0/22,12389,RU,PJSC Rostelecom,ORG-JR8-RIPE,4,3870.97,2000.0,2620.09
2021-04-18 22:20:00 UTC,45.86.188.0,45.86.188.0/23,399498,US,Private Networks Labs LLC,PNLL-ARIN,4,3440.37,5494.51,7025.76
2021-04-18 22:30:00 UTC,91.109.151.0,91.109.128.0/19,31214,RU,TIS Dialog LLC,ORG-TDL1-RIPE,4,19480.52,8928.57,15544.04
2021-04-18 22:30:00 UTC,91.109.151.0,91.109.128.0/19,31214,RU,TIS Dialog LLC,ORG-TDL1-RIPE,4,53571.43,17543.86,17441.86
2021-04-18 22:55:00 UTC,2a02:2698:6c2d::,2a02:2698:6c2c::/47,51570,RU,"JSC ""ER-Telecom Holding""",ORG-RA21-RIPE,4,4975.12,2887.39,4800.0
